buyer_id,name,state_license,address,city,state,zip,industry,type,buyer_group,buyer_type,disabled
188989,Rebelle Boston,MR284256,591 Albany St,Boston,39,02118,Recreational,Dispensary,Rebelle Boston (Community Growth),Retail,False
188876,Ember Gardens,MR284542,41 MA-6A,Orleans,39,02653,Recreational,,Ember Gardens,Retail,False
188779,Piping Plover,MR282467,10 Main Street,Wellfleet,39,02667,,,Piping Plover,Retail,False
189009,Charlies house,,13 commercial way,Milford,39,01757,Recreational,Dispensary,Charlies house,Retail,False
190636,Undergorund Legacy,MR284914,1379 Blue Hill Ave,Boston,39,02126,Recreational,Dispensary,Underground Legacy,Retail,False
229009,Nova Farms - Dracut,MR282853,1274 Merrimack Ave,Dracut,39,01826,Recreational,Dispensary,Nova Farms,Multi,False
191143,Pioneer Cannabis Company,MR283559,275 STURBRIDGE RD,BRIMFIELD,39,01010-9515,,,Pioneer Cannabis Company (Webber Road ops),Retail,False
190719,Baked,MR284312,879 Blue Hill Ave,Boston,39,02124,Recreational,Dispensary,Green Heart,Retail,False
229010,Nova Farms - Attleboro,MR281379,1000 Washington Street,Attleboro,39,02703,Recreational,Dispensary,Nova Farms,Multi,False
229001,"Apotho Therapeutics, LLC - Dartmouth",MR283521,747 State Rd,Dartmouth,39,02747,Recreational,Dispensary,"Apotho Therapeutics, LLC",Multi,False
252036,Green Gold Group - Palmer,MR284703,1140 Thorndike St,Palmer,39,01069,Recreational,Dispensary,Green Gold Group,Retail,False
